ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1228195,2047,8,1,165,78,67,67,165,84,1
1228195,280,8,49,110,50,48,0,72,0,0
1228196,280,8,50,111,50,48,0,72,0,0
1228205,280,8,35,96,50,48,0,72,0,0
1228215,280,8,36,97,50,48,0,72,0,0
1228235,280,8,37,98,50,48,0,72,0,0
1228245,280,8,38,99,50,48,0,72,0,0
1228255,280,8,39,100,50,48,0,72,0,0
1228265,280,8,40,101,50,48,0,72,0,0
1228285,280,8,41,102,50,48,0,72,0,0
1228285,280,8,42,103,50,48,0,72,0,0
1228295,2047,8,2,71,86,109,142,81,207,39
1228295,280,8,44,105,50,48,0,72,0,0
1228295,280,8,45,106,50,48,0,72,0,0
1228315,280,8,46,107,50,48,0,72,0,0
1228335,280,8,47,108,50,48,0,72,0,0
1228345,280,8,48,109,50,48,0,72,0,0
1228355,280,8,50,111,50,48,0,72,0,0
1228385,280,8,35,96,50,48,0,72,0,0
1228395,280,8,36,97,50,48,0,72,0,0
1228415,280,8,38,99,50,48,0,72,0,0
1228435,280,8,40,101,50,48,0,72,0,0
1228455,280,8,42,103,50,48,0,72,0,0
1228475,280,8,44,105,50,48,0,72,0,0
1228495,280,8,46,107,50,48,0,72,0,0
1228515,280,8,48,109,50,48,0,72,0,0
1228535,280,8,50,111,50,48,0,72,0,0
1228555,280,8,36,97,50,48,0,72,0,0
1228575,280,8,38,99,50,48,0,72,0,0
1228585,280,8,40,101,50,48,0,72,0,0
1228595,2047,8,5,18,32,161,64,4,128,82
1228595,1021,8,1,0,6,0,0,8,18,128
1228605,280,8,43,104,50,48,0,72,0,0
1228615,280,8,44,105,50,48,0,72,0,0
1228655,280,8,46,107,50,48,0,72,0,0
1228655,1021,8,2,0,0,0,0,0,0,144
1228695,280,8,50,111,50,48,0,72,0,0
1228705,2047,8,6,88,55,91,7,176,204,200
1228705,280,8,36,97,50,48,0,72,0,0
1228725,280,8,38,99,50,48,0,72,0,0
1228735,280,8,39,100,50,48,0,72,0,0
1228765,280,8,41,102,50,48,0,72,0,0
1228775,280,8,42,103,50,48,0,72,0,0
1228795,280,8,44,105,50,48,0,72,0,0
1228795,2047,8,7,38,0,133,32,68,35,112
1228805,280,8,46,107,50,48,0,72,0,0
1228825,280,8,48,109,50,48,0,72,0,0
1228875,280,8,36,97,50,48,0,72,0,0
1228905,280,8,40,101,50,48,0,72,0,0
1228935,280,8,42,103,50,48,0,72,0,0
1228975,280,8,46,107,50,48,0,72,0,0
1228995,280,8,48,109,50,48,0,72,0,0
1229006,280,8,50,111,50,48,0,72,0,0
1229025,280,8,36,97,50,48,0,72,0,0
1229035,280,8,37,98,50,48,0,72,0,0
1229045,280,8,38,99,50,48,0,72,0,0
1229055,280,8,39,100,50,48,0,72,0,0
1229065,280,8,40,101,50,48,0,72,0,0
1229075,280,8,41,102,50,48,0,72,0,0
1229085,280,8,42,103,50,48,0,72,0,0
1229105,2047,8,1,165,78,67,67,165,84,1
1229105,1021,8,1,0,6,0,0,8,18,128
1229105,280,8,44,105,50,48,0,72,0,0
1229125,280,8,46,107,50,48,0,72,0,0
1229135,280,8,47,108,50,48,0,72,0,0
1229155,280,8,49,110,50,48,0,72,0,0
1229155,280,8,50,111,50,48,0,72,0,0
1229185,280,8,36,97,50,48,0,72,0,0
1229205,2047,8,2,71,86,109,142,81,207,39
1229205,280,8,38,99,50,48,0,72,0,0
1229215,280,8,39,100,50,48,0,72,0,0
1229215,280,8,40,101,50,48,0,72,0,0
1229225,280,8,41,102,50,48,0,72,0,0
1229235,280,8,42,103,50,48,0,72,0,0
1229255,280,8,43,104,50,48,0,72,0,0
1229265,280,8,44,105,50,48,0,72,0,0
1229275,280,8,45,106,50,48,0,72,0,0
1229275,280,8,46,107,50,48,0,72,0,0
1229285,2047,8,3,51,12,141,225,32,39,52
1229295,280,8,48,109,50,48,0,72,0,0
1229315,280,8,49,110,50,48,0,72,0,0
1229325,280,8,50,111,50,48,0,72,0,0
1229345,280,8,36,97,50,48,0,72,0,0
1229355,280,8,37,98,50,48,0,72,0,0
1229355,280,8,38,99,50,48,0,72,0,0
1229365,280,8,39,100,50,48,0,72,0,0
1229375,280,8,40,101,50,48,0,72,0,0
1229395,2047,8,4,153,22,28,106,170,188,16
1229395,280,8,41,102,50,48,0,72,0,0
1229395,280,8,42,103,50,48,0,72,0,0
1229415,280,8,44,105,50,48,0,72,0,0
1229435,280,8,45,106,50,48,0,72,0,0
1229445,280,8,46,107,50,48,0,72,0,0
1229465,280,8,48,109,50,48,0,72,0,0
1229485,280,8,49,110,50,48,0,72,0,0
1229495,280,8,50,111,50,48,0,72,0,0
1229505,2047,8,5,18,32,161,64,4,128,82
1229505,280,8,36,97,50,48,0,72,0,0
1229515,280,8,37,98,50,48,0,72,0,0
1229525,280,8,38,99,50,48,0,72,0,0
1229545,280,8,39,100,50,48,0,72,0,0
1229555,280,8,40,101,50,48,0,72,0,0
1229595,280,8,44,105,50,48,0,72,0,0
1229605,2047,8,6,88,55,91,7,176,204,200
1229605,1021,8,1,0,6,0,0,8,18,128
1229615,280,8,47,108,50,48,0,72,0,0
1229615,280,8,48,109,50,48,0,72,0,0
1229635,280,8,49,110,50,48,0,72,0,0
1229645,1021,8,2,0,0,0,0,0,0,144
1229645,280,8,50,111,50,48,0,72,0,0
1229675,280,8,36,97,50,48,0,72,0,0
1229685,280,8,37,98,50,48,0,72,0,0
1229695,280,8,38,99,50,48,0,72,0,0
1229705,280,8,40,101,50,48,0,72,0,0
1229725,280,8,41,102,50,48,0,72,0,0
1229725,280,8,42,103,50,48,0,72,0,0
1229735,280,8,43,104,50,48,0,72,0,0
1229735,280,8,44,105,50,48,0,72,0,0
1229745,280,8,45,106,50,48,0,72,0,0
1229755,280,8,46,107,50,48,0,72,0,0
1229785,280,8,47,108,50,48,0,72,0,0
1229795,280,8,48,109,50,48,0,72,0,0
1229795,2047,8,8,128,68,0,144,98,20,48
1229795,280,8,50,111,50,48,0,72,0,0
1229805,280,8,35,96,50,48,0,72,0,0
1229815,280,8,36,97,50,48,0,72,0,0
1229835,280,8,37,98,50,48,0,72,0,0
1229845,280,8,38,99,50,48,0,72,0,0
1229855,280,8,40,101,50,48,0,72,0,0
1229875,280,8,41,102,50,48,0,72,0,0
1229885,280,8,42,103,50,48,0,72,0,0
1229905,280,8,44,105,50,48,0,72,0,0
1229925,280,8,45,106,50,48,0,72,0,0
1229925,280,8,46,107,50,48,0,72,0,0
1229965,280,8,49,110,50,48,0,72,0,0
1229975,280,8,50,111,50,48,0,72,0,0
1229995,280,8,36,97,50,48,0,72,0,0
1229995,2047,8,1,165,78,67,67,165,84,1
1230005,280,8,38,99,50,48,0,72,0,0
1230025,280,8,40,101,50,48,0,72,0,0
1230075,280,8,44,105,50,48,0,72,0,0
1230085,280,8,45,106,50,48,0,72,0,0
1230085,280,8,46,107,50,48,0,72,0,0
1230095,2047,8,2,71,86,109,142,81,207,39
1230095,1021,8,1,0,6,0,0,8,18,128
1230095,280,8,48,109,50,48,0,72,0,0
1230105,280,8,49,110,50,48,0,72,0,0
1230115,280,8,50,111,50,48,0,72,0,0
1230135,280,8,35,96,50,48,0,72,0,0
1230145,280,8,36,97,50,48,0,72,0,0
1230145,1021,8,2,0,0,0,0,0,0,144
1230165,280,8,38,99,50,48,0,72,0,0
1230185,280,8,39,100,50,48,0,72,0,0
1230185,280,8,40,101,50,48,0,72,0,0
1230185,2047,8,3,51,12,141,225,32,39,52
1230185,280,8,42,103,50,48,0,72,0,0
1230205,280,8,43,104,50,48,0,72,0,0
1230225,280,8,44,105,50,48,0,72,0,0
1230255,280,8,46,107,50,48,0,72,0,0
1230295,280,8,50,111,50,48,0,72,0,0
1230315,280,8,36,97,50,48,0,72,0,0
1230335,280,8,38,99,50,48,0,72,0,0
1230355,280,8,40,101,50,48,0,72,0,0
1230365,280,8,42,103,50,48,0,72,0,0
1230385,280,8,44,105,50,48,0,72,0,0
