ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
509065,280,8,173,139,49,16,0,72,0,128
509085,280,8,174,140,49,16,0,72,0,128
509095,280,8,175,141,49,16,0,72,0,128
509095,1021,8,1,0,6,0,0,8,18,128
509095,280,8,176,142,49,16,0,72,0,128
509095,280,8,177,143,49,16,0,72,0,128
509105,280,8,162,128,49,16,0,72,0,128
509125,280,8,163,129,49,16,0,72,0,128
509145,280,8,164,130,49,16,0,72,0,128
509145,1021,8,2,0,0,0,0,0,0,144
509155,280,8,165,131,49,16,0,72,0,128
509165,280,8,166,132,49,16,0,72,0,128
509165,280,8,167,133,49,16,0,72,0,128
509175,280,8,168,134,49,16,0,72,0,128
509185,280,8,169,135,49,16,0,72,0,128
509205,280,8,170,136,49,16,0,72,0,128
509215,280,8,171,137,49,16,0,72,0,128
509225,280,8,172,138,49,16,0,72,0,128
509235,280,8,173,139,49,16,0,72,0,128
509235,280,8,174,140,49,16,0,72,0,128
509245,280,8,175,141,49,16,0,72,0,128
509255,280,8,176,142,49,16,0,72,0,128
509275,280,8,177,143,49,16,0,72,0,128
509285,280,8,162,128,49,16,0,72,0,128
509295,280,8,163,129,49,16,0,72,0,128
509295,280,8,164,130,49,16,0,72,0,128
509305,280,8,165,131,49,16,0,72,0,128
509315,280,8,166,132,49,16,0,72,0,128
509335,280,8,167,133,49,16,0,72,0,128
509345,280,8,168,134,49,16,0,72,0,128
509355,280,8,169,135,49,16,0,72,0,128
509355,280,8,170,136,49,16,0,72,0,128
509365,280,8,171,137,49,16,0,72,0,128
509375,280,8,172,138,49,16,0,72,0,128
509395,280,8,173,139,49,16,0,72,0,128
509405,280,8,174,140,49,16,0,72,0,128
509415,280,8,175,141,49,16,0,72,0,128
509415,280,8,176,142,49,16,0,72,0,128
509425,280,8,177,143,49,16,0,72,0,128
509435,280,8,162,128,49,16,0,72,0,128
509455,280,8,163,129,49,16,0,72,0,128
509455,280,8,164,130,49,16,0,72,0,128
509465,280,8,165,131,49,16,0,72,0,128
509475,280,8,166,132,49,16,0,72,0,128
509495,280,8,167,133,49,16,0,72,0,128
509505,280,8,168,134,49,16,0,72,0,128
509515,280,8,169,135,49,16,0,72,0,128
509525,280,8,170,136,49,16,0,72,0,128
509535,280,8,171,137,49,16,0,72,0,128
509545,280,8,172,138,49,16,0,72,0,128
509545,1021,8,0,0,0,60,32,0,0,128
509545,280,8,173,139,49,16,0,72,0,128
509545,280,8,174,140,49,16,0,72,0,128
509555,280,8,175,141,49,16,0,72,0,128
509575,280,8,176,142,49,16,0,72,0,128
509595,280,8,177,143,49,16,0,72,0,128
509595,1021,8,1,0,6,0,0,8,18,128
509595,280,8,162,128,49,16,0,72,0,128
509605,280,8,163,129,49,16,0,72,0,128
509605,280,8,164,130,49,16,0,72,0,128
509625,280,8,165,131,49,16,0,72,0,128
509635,280,8,166,132,49,16,0,72,0,128
509635,1021,8,2,0,0,0,0,0,0,144
509645,280,8,167,133,49,16,0,72,0,128
509655,280,8,168,134,49,16,0,72,0,128
509675,280,8,169,135,49,16,0,72,0,128
509685,280,8,170,136,49,16,0,72,0,128
509695,280,8,171,137,49,16,0,72,0,128
509695,280,8,172,138,49,16,0,72,0,128
509705,280,8,173,139,49,16,0,72,0,128
509715,280,8,174,140,49,16,0,72,0,128
509735,280,8,175,141,49,16,0,72,0,128
509745,280,8,176,142,49,16,0,72,0,128
509755,280,8,177,143,49,16,0,72,0,128
509755,280,8,162,128,49,16,0,72,0,128
509765,280,8,163,129,49,16,0,72,0,128
509775,280,8,164,130,49,16,0,72,0,128
509795,280,8,165,131,49,16,0,72,0,128
509805,280,8,166,132,49,16,0,72,0,128
509815,280,8,167,133,49,16,0,72,0,128
509815,280,8,168,134,49,16,0,72,0,128
509825,280,8,169,135,49,16,0,72,0,128
509835,280,8,170,136,49,16,0,72,0,128
509855,280,8,171,137,49,16,0,72,0,128
509865,280,8,172,138,49,16,0,72,0,128
509875,280,8,173,139,49,16,0,72,0,128
509875,280,8,174,140,49,16,0,72,0,128
509885,280,8,175,141,49,16,0,72,0,128
