CAN ID (dec),CAN ID (hex),Count
521,0x209,266
1943,0x797,134
257,0x101,1425
944,0x3b0,1268
297,0x129,1271
285,0x11d,443
329,0x149,442
344,0x158,441
373,0x175,1244
387,0x183,1243
389,0x185,441
737,0x2e1,804
897,0x381,347
545,0x221,252
306,0x132,1174
485,0x1e5,1079
882,0x372,137
263,0x107,1086
968,0x3c8,101
280,0x118,1003
81,0x51,1052
1058,0x422,151
876,0x36c,1023
291,0x123,225
279,0x117,1390
1161,0x489,842
585,0x249,301
1621,0x655,337
1000,0x3e8,164
956,0x3bc,17
819,0x333,34
323,0x143,248
820,0x334,33
666,0x29a,97
955,0x3bb,16
564,0x234,231
679,0x2a7,161
1021,0x3fd,92
555,0x22b,243
328,0x148,746
599,0x257,683
576,0x240,714
678,0x2a6,161
832,0x340,162
945,0x3b1,158
1022,0x3fe,387
706,0x2c2,140
605,0x25d,90
294,0x126,175
711,0x2c7,179
1053,0x41d,90
1089,0x441,279
615,0x267,97
1675,0x68b,86
738,0x2e2,45
962,0x3c2,251
313,0x139,89
691,0x2b3,144
748,0x2ec,89
1251,0x4e3,55
938,0x3aa,27
1914,0x77a,19
1930,0x78a,116
648,0x288,87
1666,0x682,87
609,0x261,250
899,0x383,88
554,0x22a,87
864,0x360,112
275,0x113,90
287,0x11f,92
2036,0x7f4,158
322,0x142,277
258,0x102,108
1976,0x7b8,102
722,0x2d2,95
594,0x252,91
530,0x212,90
658,0x292,89
754,0x2f2,87
707,0x2c3,86
1349,0x545,374
826,0x33a,8
627,0x273,18
660,0x294,18
721,0x2d1,71
680,0x2a8,33
1359,0x54f,127
694,0x2b6,83
919,0x397,88
1064,0x428,91
1270,0x4f6,89
1861,0x745,88
929,0x3a1,247
1992,0x7c8,9
762,0x2fa,88
634,0x27a,88
1096,0x448,85
421,0x1a5,85
825,0x339,51
745,0x2e9,83
259,0x103,202
975,0x3cf,153
541,0x21d,80
1885,0x75d,47
936,0x3a8,44
1962,0x7aa,158
792,0x318,160
552,0x228,192
900,0x384,11
896,0x380,8
739,0x2e3,44
786,0x312,18
914,0x392,18
443,0x1bb,16
568,0x238,18
644,0x284,14
822,0x336,70
950,0x3b6,8
1020,0x3fc,9
1057,0x421,88
1869,0x74d,9
1623,0x657,8
871,0x367,5
872,0x368,5
875,0x36b,4
1025,0x401,377
682,0x2aa,139
780,0x30c,8
850,0x352,10
1370,0x55a,62
1859,0x743,9
1267,0x4f3,24
531,0x213,18
293,0x125,17
801,0x321,9
1605,0x645,7
1091,0x443,17
522,0x20a,9
1149,0x47d,9
1860,0x744,9
292,0x124,17
586,0x24a,9
784,0x310,6
946,0x3b2,22
947,0x3b3,15
1922,0x782,4
1071,0x42f,7
1736,0x6c8,9
742,0x2e6,4
866,0x362,9
1960,0x7a8,167
853,0x355,9
1810,0x712,36
602,0x25a,9
1029,0x405,65
1044,0x414,60
1367,0x557,13
854,0x356,12
855,0x357,15
858,0x35a,15
859,0x35b,12
893,0x37d,9
1342,0x53e,7
989,0x3dd,9
562,0x232,9
2005,0x7d5,324
997,0x3e5,15
790,0x316,11
771,0x303,8
772,0x304,10
777,0x309,9
1014,0x3f6,8
798,0x31e,43
1864,0x748,8
741,0x2e5,8
816,0x330,7
1112,0x458,165
1551,0x60f,8
834,0x342,101
898,0x382,9
1107,0x453,7
886,0x376,80
870,0x366,4
833,0x341,107
974,0x3ce,98
1656,0x678,163
2047,0x7ff,158
130,0x82,4
763,0x2fb,70
1013,0x3f5,162
1059,0x423,162
2024,0x7e8,17
1944,0x798,162
973,0x3cd,83
612,0x264,93
548,0x224,101
692,0x2b4,132
964,0x3c4,19
290,0x122,160
744,0x2e8,161
549,0x225,161
994,0x3e2,81
727,0x2d7,17
1001,0x3e9,32
596,0x254,140
597,0x255,114
616,0x268,98
633,0x279,154
960,0x3c0,158
529,0x211,157
673,0x2a1,159
505,0x1f9,160
1929,0x789,159
1250,0x4e2,160
794,0x31a,80
787,0x313,32
659,0x293,32
577,0x241,160
1928,0x788,160
526,0x20e,160
743,0x2e7,16
578,0x242,160
646,0x286,150
963,0x3c3,156
1024,0x400,148
708,0x2c4,70
516,0x204,86
977,0x3d1,14
1034,0x40a,80
995,0x3e3,80
1874,0x752,19
803,0x323,16
844,0x34c,17
840,0x348,15
1005,0x3ed,16
1320,0x528,16
905,0x389,30
810,0x32a,2
979,0x3d3,16
912,0x390,16
856,0x358,32
851,0x353,16
1031,0x407,32
809,0x329,16
873,0x369,16
1065,0x429,16
1081,0x439,16
1097,0x449,16
1233,0x4d1,16
789,0x315,77
1495,0x5d7,16
1800,0x708,16
935,0x3a7,16
949,0x3b5,16
965,0x3c5,16
1186,0x4a2,15
676,0x2a4,12
868,0x364,17
932,0x3a4,17
1748,0x6d4,16
902,0x386,16
928,0x3a0,16
1016,0x3f8,8
1151,0x47f,12
614,0x266,16
770,0x302,16
1830,0x726,16
836,0x344,15
818,0x332,7
768,0x300,9
1106,0x452,15
1010,0x3f2,15
1170,0x492,15
785,0x311,16
978,0x3d2,16
1138,0x472,16
800,0x320,44
1180,0x49c,16
1803,0x70b,16
1834,0x72a,2
1550,0x60e,2
1590,0x636,6
1589,0x635,5
1541,0x605,6
1557,0x615,5
1558,0x616,5
1542,0x606,3
1572,0x624,2
1573,0x625,4
1574,0x626,3
1575,0x627,3
1613,0x64d,2
1629,0x65d,2
1577,0x629,1
1723,0x6bb,1
863,0x35f,6
1070,0x42e,4
1633,0x661,3
1569,0x621,4
1548,0x60c,2
1549,0x60d,4
1562,0x61a,2
1563,0x61b,4
1536,0x600,1
1537,0x601,3
1581,0x62d,3
1583,0x62f,3
1368,0x558,2
1762,0x6e2,2
1566,0x61e,1
878,0x36e,4
1576,0x628,1
1582,0x62e,1
617,0x269,3
1760,0x6e0,1
907,0x38b,9
909,0x38d,7
1831,0x727,4
1115,0x45b,1
